Severity,Role,Route,File,Line,Category,Problem,UserImpact,SuggestedDirection,Confidence,VerificationMethod
P0,ContentCouncil,/content-council/subjects/:subjectId/editor,components/content-council/editor/content/SlideHtmlPreview.vue,"29, 36, 47, 54, 60-61, 67, 75-76",Security,"v-html on slide content blocks (text, items, caption, message) unsanitized",XSS vulnerability via malicious content block data,Use htmlSanitizer.js consistently; render via sanitized Markdown parser,High,STATIC_CODE
P0,ContentCouncil,/content-council/question-bank/:questionId,components/content-council/question-bank/QuestionDetailDrawer.vue,106,Security,v-html on questionData.content unsanitized,XSS vulnerability viewing question content,Use htmlSanitizer.js consistently,High,STATIC_CODE
P0,ContentCouncil,/content-council/question-bank/:questionId/edit,components/content-council/question-bank/QuestionFormDrawer.vue,370,Security,v-html on formData.content with inline HTML unsanitized,XSS vulnerability editing question content,Use htmlSanitizer.js consistently,High,STATIC_CODE
P0,ContentCouncil,/content-council/quizzes/:quizId/builder,components/content-council/quizzes/builder/QuestionPreviewDrawer.vue,77,Security,v-html on question.content unsanitized,XSS vulnerability previewing quiz questions,Use htmlSanitizer.js consistently,High,STATIC_CODE
P1,SuperAdmin,/super-admin/awards,views/SuperAdmin/AwardsView.vue,1-200,Nested Shell,Creates its own lg-app-bg inside SuperAdmin layout causing nested orbs,Visual artifacts: double background gradient,Remove nested app-bg; rely on layout only,High,STATIC_CODE
P1,SuperAdmin,/super-admin/discipline,views/SuperAdmin/DisciplineView.vue,1-200,Nested Shell,Creates its own lg-app-bg inside SuperAdmin layout,Visual artifacts: double background gradient,Remove nested app-bg; rely on layout only,High,STATIC_CODE
P1,SuperAdmin,/super-admin/awards,views/SuperAdmin/AwardsView.vue,1-200,Hardcoded Colors,"Multiple hardcoded Tailwind colors (bg-sky-500/10, text-sky-500, gradient amber/orange)",Breaks dark mode; inconsistency,Use tokens only; remove hardcoded colors,High,STATIC_CODE
P1,SuperAdmin,/super-admin/discipline,views/SuperAdmin/DisciplineView.vue,1-200,Hardcoded Colors,Heavy red/rose hardcoded styling,Breaks dark mode; inconsistency,Use tokens only; remove hardcoded colors,High,STATIC_CODE
P2,Student,/student/schedule,views/Student/ScheduleView.vue,1-200,Design System,Not using GlassPanel/GlassButton/GlassBadge; custom CSS calendar,Inconsistent UI; maintenance burden,Refactor to use Glass components,High,STATIC_CODE
P2,Student,/student/schedule,views/Student/ScheduleView.vue,1-200,Internationalization,"Status labels Published, Cancelled, Makeup, Online are raw English",Comprehension barrier for Vietnamese users,Map all statuses via statusLabels.js,High,STATIC_CODE
P2,Student,/student/attendance,views/Student/AttendanceView.vue,1-200,AI Speculation,AI risk copy may be speculative with no evidence,False confidence or confusion,Show only real data; label AI predictions clearly,High,STATIC_CODE
P2,Student,/student/attendance,views/Student/AttendanceView.vue,1-200,Design System,Select controls not using GlassInput consistently,Inconsistent form styling,Use GlassInput or consistent control wrapper,High,STATIC_CODE
P2,Student,/student/discipline,views/Student/DisciplineView.vue,1-200,Nested Shell,View adds p-6 h-full bg overflow-y-auto inside layout,Double scroll container; nested scroll issues,Remove extra shell; use PageContainer only,Medium,STATIC_CODE
P2,Student,/student/rewards,views/Student/RewardsView.vue,1-200,Design System,Overly decorative glow in reward UI,Celebratory template feel inappropriate for academic context,Tone down glow; focus on informational content,Medium,STATIC_CODE
P2,Teacher,/teacher/attendance,views/GiangVien/AttendanceTodayView.vue,1-200,Missing Statuses,Only binary present/absent; missing co_mat/vang/di_muon/co_phep,Teacher cannot properly record attendance,Add all required attendance statuses,High,STATIC_CODE
P2,Teacher,/teacher/attendance,views/GiangVien/AttendanceTodayView.vue,1-200,Missing States,No session states (chua_mo/dang_diem_danh/da_gui/da_khoa),Confusion about session state,Implement session state machine,High,STATIC_CODE
P2,Teacher,/teacher/attendance,views/GiangVien/AttendanceTodayView.vue,1-200,Data Source,Inline todayClasses and students arrays,No real data integration,Connect to teacherApi.attendance,High,STATIC_CODE
P2,Staff,/staff/schedule,views/GiaoVu/Schedule/ScheduleManagerView.vue,1-200,Design System,Uses custom buttons instead of GlassButton; nested page header,Inconsistent UI,Refactor to use GlassButton and GlassPanel,Medium,STATIC_CODE
P2,Staff,/staff/schedule,views/GiaoVu/Schedule/ScheduleManagerView.vue,1-200,Hardcoded Colors,"Raw print HTML with #ddd, white; PDF export outside token system",Breaks dark mode; inconsistent,Use token colors; move print styles to CSS classes,Medium,STATIC_CODE
P2,Staff,/staff/conflicts,views/GiaoVu/Schedule/ConflictCheckView.vue,1-200,Design System,Not using TableShell consistently,Inconsistent table styling,Use TableShell wrapper,Medium,STATIC_CODE
P2,Staff,/staff/conflicts,views/GiaoVu/Schedule/ConflictCheckView.vue,1-200,Data Source,Inline mock conflict data,No real conflict resolution workflow,Connect to scheduleApi.conflicts,Medium,STATIC_CODE
P2,BGH,/bgh/schedule/published,views/BGH/Schedule/PublishedSchedulesView.vue,1-200,Design System,"Raw status online, Join Link English",Inconsistent language,Use statusLabels.js,Medium,STATIC_CODE
P2,BGH,/bgh/schedule/published,views/BGH/Schedule/PublishedSchedulesView.vue,1-200,Design System,Raw table instead of TableShell,Inconsistent table styling,Use TableShell,Medium,STATIC_CODE
P2,BGH,/bgh/schedule/changes,views/BGH/Schedule/ScheduleChangesView.vue,1-200,UX,Should show change types: doi_phong/doi_ca/day_thay/huy,Unclear change semantics,Add change type badges,Medium,STATIC_CODE
P2,SuperAdmin,/super-admin/notifications/templates,views/SuperAdmin/NotificationTemplatesView.vue,1-200,Placeholder,Empty placeholder with no real or mock data,Useless route,Implement template list or mark out-of-phase,Medium,STATIC_CODE
P2,ContentCouncil,/content-council/subjects/:subjectId/editor,components/content-council/editor/CurriculumEditor.vue,1-200,UX,EditorJS integration may have save state issues,Potential data loss,Implement autosave and dirty state detection,Medium,STATIC_CODE
P2,ContentCouncil,/content-council/quizzes/:quizId/builder,pages/content-council/QuizBuilderPage.vue,1-200,Placeholder,May have placeholder or incomplete builder state,Useless route,Complete builder implementation,Medium,BUILD
P2,BGH,/bgh/schedule/*,views/BGH/Schedule/ScheduleChangesView.vue,1-200,Duplicate Pattern,Separate BGH schedule views duplicate Staff patterns,Inconsistent UX for BGH vs Staff,Align BGH schedule views with read-only audit pattern,Medium,STATIC_CODE
P3,ALL,ALL,ALL layouts,ALL,Design System,Inter font imported in each layout (6 times via @import),Duplicate network requests; Google Fonts runtime import,Move to index.html link or CSS single import,Medium,STATIC_CODE
P3,ALL,ALL,ALL layouts,ALL,Design System,Scrollbar styles duplicated in every layout (6 times),Code duplication,Consolidate to liquid-glass.css,Low,STATIC_CODE
P3,ALL,ALL,ALL,ALL,Design System,"Mixed role name usage in UI (Student, Teacher vs Sinh vien, Giang vien)",Confusing language mix,Consolidate to Vietnamese for internal UI,Medium,STATIC_CODE
P3,Parent,/parent/dashboard,Layout_PhuHuynh,ALL,UX,"Menu full English labels (Dashboard, Children list, etc.)",Mixed language in parent UI,Translate menu items to Vietnamese,Low,STATIC_CODE